text_index,emotion,polarity,subjectivity,text
33,neutral,-0.075,0.19999999999999998,Average experience overall.
34,sadness,-0.625,0.6,Poor quality control! Avoid this product!
35,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
36,neutral,0.0,0.0,Product meets minimum requirements.
37,neutral,-0.075,0.19999999999999998,Average experience overall.
38,joy,0.5,0.5,"It works as described, nothing more."
39,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
40,neutral,0.0,0.0,Product meets minimum requirements.
41,neutral,0.0,0.0,Product meets minimum requirements.
42,joy,0.6875,0.75,I love this product! It's amazing! 😍
43,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
44,joy,0.6875,0.75,I love this product! It's amazing! 😍
45,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
46,neutral,-0.08333333333333333,0.25,Typical product with standard features.
47,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
48,sadness,-0.625,0.6,Poor quality control! Avoid this product!
49,sadness,-0.6375,0.6333333333333333,Poor quality and bad customer service!
50,neutral,0.0,0.0,Product meets minimum requirements.
51,neutral,0.0,0.0,Product meets minimum requirements.
52,neutral,-0.075,0.2,Complete waste of time and money! 😤
53,sadness,-0.8125,0.78,Very poor quality! Not recommended at all!
54,joy,0.5,0.9,Fantastic experience with customer support!
55,sadness,-0.6375,0.6333333333333333,Poor quality and bad customer service!
56,joy,0.90625,0.875,Great value for money! Very satisfied!
57,joy,0.9,0.875,Great service and excellent quality! 👏
58,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
59,neutral,-0.075,0.2,Complete waste of time and money! 😤
60,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
61,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
62,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
63,neutral,-0.08333333333333333,0.25,Typical product with standard features.
64,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
65,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
66,neutral,0.0,0.0,Product meets minimum requirements.
67,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
68,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
69,neutral,0.0,0.0,Product meets minimum requirements.
70,sadness,-0.625,0.6,Poor quality control! Avoid this product!
71,joy,0.5,0.9,Fantastic experience with customer support!
72,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
73,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
74,joy,0.6875,0.75,I love this product! It's amazing! 😍
75,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
76,joy,0.5,0.35,Absolutely love it! Worth every penny!
77,sadness,-0.625,0.6,Poor quality control! Avoid this product!
78,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
79,joy,0.5,0.5,"It works as described, nothing more."
80,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
81,sadness,-0.625,0.6,Poor quality control! Avoid this product!
82,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
83,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
84,sadness,-0.625,0.6,Poor quality control! Avoid this product!
85,joy,0.6875,0.75,I love this product! It's amazing! 😍
86,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
87,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
88,joy,0.5,0.5,"It works as described, nothing more."
89,neutral,0.0,0.0,Product meets minimum requirements.
90,joy,0.5,0.5,"It works as described, nothing more."
91,joy,0.5,0.9,Fantastic experience with customer support!
92,joy,0.5,0.35,Absolutely love it! Worth every penny!
93,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
94,joy,0.90625,0.875,Great value for money! Very satisfied!
95,joy,0.5,0.5,"It works as described, nothing more."
96,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
97,neutral,-0.08333333333333333,0.25,Typical product with standard features.
98,joy,1.0,1.0,Really impressed with the features and performance!
99,joy,0.90625,0.875,Great value for money! Very satisfied!
100,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
101,neutral,-0.075,0.2,Complete waste of time and money! 😤
102,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
103,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
104,joy,0.6875,0.75,I love this product! It's amazing! 😍
105,joy,1.0,1.0,Really impressed with the features and performance!
106,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
107,joy,0.90625,0.875,Great value for money! Very satisfied!
108,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
109,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
110,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
111,joy,0.6875,0.75,I love this product! It's amazing! 😍
112,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
113,joy,0.6875,0.75,I love this product! It's amazing! 😍
114,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
115,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
116,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
117,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
118,joy,1.0,1.0,Really impressed with the features and performance!
119,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
120,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
121,joy,0.9,0.875,Great service and excellent quality! 👏
122,neutral,0.16666666666666666,0.5,"Standard product, nothing extraordinary."
123,joy,1.0,1.0,Really impressed with the features and performance!
124,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
125,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
126,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
127,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
128,sadness,-0.8125,0.78,Very poor quality! Not recommended at all!
129,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
130,neutral,0.0,0.0,Product meets minimum requirements.
131,neutral,-0.075,0.2,Complete waste of time and money! 😤
132,sadness,-0.625,0.6,Poor quality control! Avoid this product!
133,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
134,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
135,neutral,-0.075,0.19999999999999998,Average experience overall.
136,joy,0.5,0.5,"It works as described, nothing more."
137,joy,0.5,0.5,"It works as described, nothing more."
138,joy,0.5,0.9,Fantastic experience with customer support!
139,joy,0.90625,0.875,Great value for money! Very satisfied!
140,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
141,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
142,neutral,0.16666666666666666,0.5,"Standard product, nothing extraordinary."
143,neutral,-0.075,0.19999999999999998,Average experience overall.
144,neutral,-0.08333333333333333,0.25,Typical product with standard features.
145,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
146,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
147,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
148,neutral,-0.075,0.2,Complete waste of time and money! 😤
149,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
150,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
151,neutral,0.0,0.0,Product meets minimum requirements.
152,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
153,neutral,0.0,0.125,Functionality is basic but sufficient.
154,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
155,joy,0.5,0.35,Absolutely love it! Worth every penny!
156,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
157,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
158,neutral,-0.075,0.19999999999999998,Average experience overall.
159,joy,1.0,1.0,Really impressed with the features and performance!
160,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
161,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
162,joy,1.0,1.0,Really impressed with the features and performance!
163,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
164,joy,0.5,0.9,Fantastic experience with customer support!
165,neutral,0.0,0.0,Product meets minimum requirements.
166,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
167,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
168,sadness,-0.8125,0.78,Very poor quality! Not recommended at all!
169,neutral,-0.075,0.2,Complete waste of time and money! 😤
170,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
171,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
172,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
173,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
174,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
175,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
176,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
177,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
178,joy,0.6875,0.75,I love this product! It's amazing! 😍
179,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
180,neutral,0.0,0.125,Functionality is basic but sufficient.
181,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
182,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
183,joy,1.0,1.0,Really impressed with the features and performance!
184,sadness,-0.625,0.6,Poor quality control! Avoid this product!
185,neutral,-0.08333333333333333,0.25,Typical product with standard features.
186,neutral,-0.075,0.19999999999999998,Average experience overall.
187,neutral,-0.08333333333333333,0.25,Typical product with standard features.
188,joy,0.5,0.9,Fantastic experience with customer support!
189,neutral,-0.075,0.2,Complete waste of time and money! 😤
190,joy,0.6875,0.75,I love this product! It's amazing! 😍
191,joy,0.5,0.5,"It works as described, nothing more."
192,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
193,joy,0.5,0.5,"It works as described, nothing more."
194,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
195,joy,0.5,0.9,Fantastic experience with customer support!
196,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
197,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
198,neutral,-0.075,0.19999999999999998,Average experience overall.
199,neutral,-0.075,0.19999999999999998,Average experience overall.
200,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
201,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
202,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
203,neutral,-0.08333333333333333,0.25,Typical product with standard features.
204,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
205,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
206,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
207,joy,0.5,0.5,"It works as described, nothing more."
208,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
209,joy,1.0,1.0,Really impressed with the features and performance!
210,neutral,-0.075,0.2,Complete waste of time and money! 😤
211,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
212,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
213,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
214,neutral,0.0,0.0,Product meets minimum requirements.
215,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
216,neutral,-0.08333333333333333,0.25,Typical product with standard features.
217,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
218,neutral,0.0,0.0,Product meets minimum requirements.
219,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
220,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
221,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
222,joy,0.5,0.5,"It works as described, nothing more."
223,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
224,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
225,sadness,-0.625,0.6,Poor quality control! Avoid this product!
226,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
227,sadness,-0.625,0.6,Poor quality control! Avoid this product!
228,joy,1.0,1.0,Really impressed with the features and performance!
229,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
230,joy,0.5,0.9,Fantastic experience with customer support!
231,joy,0.5,0.5,"It works as described, nothing more."
232,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
233,neutral,-0.075,0.19999999999999998,Average experience overall.
234,joy,0.9,0.875,Great service and excellent quality! 👏
235,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
236,neutral,-0.075,0.2,Complete waste of time and money! 😤
237,joy,0.6875,0.75,I love this product! It's amazing! 😍
238,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
239,neutral,0.16666666666666666,0.5,"Standard product, nothing extraordinary."
240,joy,0.90625,0.875,Great value for money! Very satisfied!
241,joy,0.5,0.9,Fantastic experience with customer support!
242,neutral,0.16666666666666666,0.5,"Standard product, nothing extraordinary."
243,joy,0.5,0.5,"It works as described, nothing more."
244,joy,0.5,0.9,Fantastic experience with customer support!
245,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
246,sadness,-0.625,0.6,Poor quality control! Avoid this product!
247,joy,0.5,0.9,Fantastic experience with customer support!
248,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
249,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
250,joy,0.5,0.5,"It works as described, nothing more."
251,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
252,joy,0.90625,0.875,Great value for money! Very satisfied!
253,joy,1.0,1.0,Really impressed with the features and performance!
254,sadness,-0.6375,0.6333333333333333,Poor quality and bad customer service!
255,joy,0.5,0.35,Absolutely love it! Worth every penny!
256,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
257,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
258,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
259,joy,0.90625,0.875,Great value for money! Very satisfied!
260,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
261,sadness,-0.6375,0.6333333333333333,Poor quality and bad customer service!
262,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
263,joy,0.5,0.5,"It works as described, nothing more."
264,joy,0.5,0.9,Fantastic experience with customer support!
265,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
266,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
267,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
268,sadness,-0.6375,0.6333333333333333,Poor quality and bad customer service!
269,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
270,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
271,joy,0.9,0.875,Great service and excellent quality! 👏
272,neutral,-0.08333333333333333,0.25,Typical product with standard features.
273,joy,0.6875,0.75,I love this product! It's amazing! 😍
274,neutral,-0.075,0.2,Complete waste of time and money! 😤
275,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
276,joy,0.6875,0.75,I love this product! It's amazing! 😍
277,sadness,-0.6375,0.6333333333333333,Poor quality and bad customer service!
278,neutral,0.0,0.125,Functionality is basic but sufficient.
279,joy,0.90625,0.875,Great value for money! Very satisfied!
280,joy,0.5,0.5,"It works as described, nothing more."
281,neutral,-0.075,0.19999999999999998,Average experience overall.
282,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
283,joy,0.90625,0.875,Great value for money! Very satisfied!
284,joy,1.0,1.0,Really impressed with the features and performance!
285,neutral,0.16666666666666666,0.5,"Standard product, nothing extraordinary."
286,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
287,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
288,neutral,-0.075,0.2,Complete waste of time and money! 😤
289,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
290,joy,0.6875,0.75,I love this product! It's amazing! 😍
291,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
292,sadness,-0.625,0.6,Poor quality control! Avoid this product!
293,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
294,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
295,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
296,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
297,sadness,-0.8125,0.78,Very poor quality! Not recommended at all!
298,neutral,-0.08333333333333333,0.25,Typical product with standard features.
299,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
300,joy,1.0,1.0,Really impressed with the features and performance!
301,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
302,sadness,-0.8125,0.78,Very poor quality! Not recommended at all!
303,joy,0.9,0.875,Great service and excellent quality! 👏
304,sadness,-0.625,0.6,Poor quality control! Avoid this product!
305,neutral,0.16666666666666666,0.5,"Standard product, nothing extraordinary."
306,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
307,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
308,joy,0.5,0.9,Fantastic experience with customer support!
309,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
310,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
311,neutral,0.16666666666666666,0.5,"Standard product, nothing extraordinary."
312,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
313,neutral,0.0,0.0,Product meets minimum requirements.
314,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
315,joy,1.0,1.0,Really impressed with the features and performance!
316,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
317,sadness,-0.8125,0.78,Very poor quality! Not recommended at all!
318,neutral,0.0,0.0,Product meets minimum requirements.
319,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
320,neutral,-0.08333333333333333,0.25,Typical product with standard features.
321,joy,0.5,0.5,"It works as described, nothing more."
322,sadness,-0.6375,0.6333333333333333,Poor quality and bad customer service!
323,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
324,joy,0.6875,0.75,I love this product! It's amazing! 😍
325,joy,0.9,0.875,Great service and excellent quality! 👏
326,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
327,joy,0.90625,0.875,Great value for money! Very satisfied!
328,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
329,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
330,joy,0.5,0.5,"It works as described, nothing more."
331,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
332,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
333,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
334,joy,1.0,1.0,Really impressed with the features and performance!
335,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
336,joy,0.5,0.35,Absolutely love it! Worth every penny!
337,joy,0.6875,0.75,I love this product! It's amazing! 😍
338,joy,0.5,0.5,"It works as described, nothing more."
339,joy,0.5,0.35,Absolutely love it! Worth every penny!
340,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
341,neutral,-0.075,0.19999999999999998,Average experience overall.
342,joy,1.0,1.0,Really impressed with the features and performance!
343,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
344,neutral,0.0,0.0,Product meets minimum requirements.
345,neutral,-0.08333333333333333,0.25,Typical product with standard features.
346,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
347,sadness,-0.625,0.6,Poor quality control! Avoid this product!
348,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
349,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
350,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
351,neutral,-0.08333333333333333,0.25,Typical product with standard features.
352,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
353,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
354,neutral,0.0,0.0,Product meets minimum requirements.
355,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
356,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
357,joy,0.9,0.875,Great service and excellent quality! 👏
358,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
359,sadness,-0.625,0.6,Poor quality control! Avoid this product!
360,joy,0.6875,0.75,I love this product! It's amazing! 😍
361,joy,0.375,0.7375,Outstanding quality and fast delivery! ⭐⭐⭐⭐⭐
362,neutral,-0.075,0.19999999999999998,Average experience overall.
363,sadness,-0.8125,0.78,Very poor quality! Not recommended at all!
364,joy,0.5,0.35,Absolutely love it! Worth every penny!
365,sadness,-0.625,0.6,Poor quality control! Avoid this product!
366,joy,1.0,1.0,Really impressed with the features and performance!
367,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
368,joy,0.5,0.35,Absolutely love it! Worth every penny!
369,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
370,neutral,0.0,0.125,Functionality is basic but sufficient.
371,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
372,joy,0.90625,0.875,Great value for money! Very satisfied!
373,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
374,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
375,joy,0.4285714285714286,0.5357142857142857,"The product is okay, nothing special."
376,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
377,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
378,joy,0.9,0.875,Great service and excellent quality! 👏
379,neutral,-0.075,0.19999999999999998,Average experience overall.
380,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
381,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
382,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
383,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
384,joy,0.5,0.9,Fantastic experience with customer support!
385,joy,1.0,1.0,Really impressed with the features and performance!
386,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
387,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
388,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
389,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
390,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
391,neutral,-0.075,0.26249999999999996,"Average quality, meets basic expectations."
392,sadness,-0.59375,0.5375000000000001,Not worth the price! Very disappointed!
393,joy,1.0,1.0,Really impressed with the features and performance!
394,joy,0.5,0.35,Absolutely love it! Worth every penny!
395,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
396,joy,0.5,0.35,Absolutely love it! Worth every penny!
397,joy,0.90625,0.875,Great value for money! Very satisfied!
398,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
399,sadness,-0.625,0.6,Poor quality control! Avoid this product!
400,joy,0.5,0.9,Fantastic experience with customer support!
401,neutral,-0.075,0.19999999999999998,Average experience overall.
402,joy,0.9,0.875,Great service and excellent quality! 👏
403,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
404,neutral,-0.08333333333333333,0.25,Typical product with standard features.
405,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
406,sadness,-1.0,1.0,Worst purchase ever! Don't buy this!
407,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
408,joy,0.90625,0.875,Great value for money! Very satisfied!
409,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
410,joy,0.7500000000000001,0.9,Exceeded my expectations! Amazing product!
411,sadness,-0.8749999999999998,0.6666666666666666,Defective product! Bad customer support!
412,sadness,-0.625,0.5,Terrible experience! Waste of money! 😡
413,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
414,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
415,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
416,joy,1.0,1.0,Really impressed with the features and performance!
417,neutral,-0.075,0.19999999999999998,Average experience overall.
418,joy,0.5,0.5,"It works as described, nothing more."
419,sadness,-0.625,0.6,Poor quality control! Avoid this product!
420,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
421,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
422,neutral,-0.075,0.2,Complete waste of time and money! 😤
423,joy,0.5,0.9,Fantastic experience with customer support!
424,sadness,-0.8125,0.78,Very poor quality! Not recommended at all!
425,neutral,0.0,0.0,Product meets minimum requirements.
426,joy,0.9,0.875,Great service and excellent quality! 👏
427,anger,0.6,0.42000000000000004,Best purchase I've made this year! Highly recommended!
428,joy,0.5,0.5,"It works as described, nothing more."
429,joy,0.65625,0.625,This is exactly what I was looking for! Perfect!
430,joy,0.90625,0.875,Great value for money! Very satisfied!
431,joy,0.7083333333333334,0.75,Nothing impressive but works fine.
432,sadness,-0.5625,0.30000000000000004,Broken after one week! Useless product!
433,neutral,-0.075,0.2,Complete waste of time and money! 😤
434,sadness,-1.0,0.9750000000000001,Very disappointed! Does not work as advertised!
435,sadness,-0.6375,0.6333333333333333,Poor quality and bad customer service!
436,neutral,-0.075,0.2,Complete waste of time and money! 😤
437,neutral,0.16666666666666666,0.6666666666666666,Decent value for the price.
