text1_index,text2_index,similarity,text1,text2
1,66,1.0000000000000002,"The product is okay, nothing special.","The product is okay, nothing special."
36,69,1.0000000000000002,"The product is okay, nothing special.","The product is okay, nothing special."
0,3,1.0000000000000002,Exceeded my expectations! Amazing product!,Exceeded my expectations! Amazing product!
41,85,1.0000000000000002,Average experience overall.,Average experience overall.
66,69,1.0000000000000002,"The product is okay, nothing special.","The product is okay, nothing special."
30,45,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
26,45,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
70,80,1.0000000000000002,This is exactly what I was looking for! Perfect!,This is exactly what I was looking for! Perfect!
45,55,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
16,45,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
1,36,1.0000000000000002,"The product is okay, nothing special.","The product is okay, nothing special."
16,30,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
34,85,1.0000000000000002,Average experience overall.,Average experience overall.
80,94,1.0000000000000002,This is exactly what I was looking for! Perfect!,This is exactly what I was looking for! Perfect!
70,88,1.0000000000000002,This is exactly what I was looking for! Perfect!,This is exactly what I was looking for! Perfect!
70,94,1.0000000000000002,This is exactly what I was looking for! Perfect!,This is exactly what I was looking for! Perfect!
14,85,1.0000000000000002,Average experience overall.,Average experience overall.
1,69,1.0000000000000002,"The product is okay, nothing special.","The product is okay, nothing special."
34,41,1.0000000000000002,Average experience overall.,Average experience overall.
36,66,1.0000000000000002,"The product is okay, nothing special.","The product is okay, nothing special."
86,87,1.0000000000000002,Fantastic experience with customer support!,Fantastic experience with customer support!
42,87,1.0000000000000002,Fantastic experience with customer support!,Fantastic experience with customer support!
26,30,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
72,77,1.0000000000000002,Worst purchase ever! Don't buy this!,Worst purchase ever! Don't buy this!
26,55,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
80,88,1.0000000000000002,This is exactly what I was looking for! Perfect!,This is exactly what I was looking for! Perfect!
42,86,1.0000000000000002,Fantastic experience with customer support!,Fantastic experience with customer support!
14,41,1.0000000000000002,Average experience overall.,Average experience overall.
16,26,1.0000000000000002,Complete waste of time and money! 😤,Complete waste of time and money! 😤
8,40,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
4,38,1.0,"Average quality, meets basic expectations.","Average quality, meets basic expectations."
18,47,1.0,Very poor quality! Not recommended at all!,Very poor quality! Not recommended at all!
51,71,1.0,Best purchase I've made this year! Highly recommended!,Best purchase I've made this year! Highly recommended!
50,92,1.0,Terrible experience! Waste of money! 😡,Terrible experience! Waste of money! 😡
8,57,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
12,73,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
27,92,1.0,Terrible experience! Waste of money! 😡,Terrible experience! Waste of money! 😡
10,74,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
10,75,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
4,52,1.0,"Average quality, meets basic expectations.","Average quality, meets basic expectations."
33,43,1.0,Great service and excellent quality! 👏,Great service and excellent quality! 👏
32,98,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
32,73,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
32,59,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
47,89,1.0,Very poor quality! Not recommended at all!,Very poor quality! Not recommended at all!
32,58,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
32,54,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
10,84,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
49,78,1.0,Very disappointed! Does not work as advertised!,Very disappointed! Does not work as advertised!
23,82,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
12,98,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
24,33,1.0,Great service and excellent quality! 👏,Great service and excellent quality! 👏
17,40,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
27,50,1.0,Terrible experience! Waste of money! 😡,Terrible experience! Waste of money! 😡
4,83,1.0,"Average quality, meets basic expectations.","Average quality, meets basic expectations."
5,50,1.0,Terrible experience! Waste of money! 😡,Terrible experience! Waste of money! 😡
20,21,1.0,Poor quality and bad customer service!,Poor quality and bad customer service!
19,21,1.0,Poor quality and bad customer service!,Poor quality and bad customer service!
19,20,1.0,Poor quality and bad customer service!,Poor quality and bad customer service!
46,99,1.0,Best purchase I've made this year! Highly recommended!,Best purchase I've made this year! Highly recommended!
17,57,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
18,89,1.0,Very poor quality! Not recommended at all!,Very poor quality! Not recommended at all!
5,27,1.0,Terrible experience! Waste of money! 😡,Terrible experience! Waste of money! 😡
17,63,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
82,96,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
81,97,1.0,Defective product! Bad customer support!,Defective product! Bad customer support!
7,49,1.0,Very disappointed! Does not work as advertised!,Very disappointed! Does not work as advertised!
5,92,1.0,Terrible experience! Waste of money! 😡,Terrible experience! Waste of money! 😡
48,90,1.0,Absolutely love it! Worth every penny!,Absolutely love it! Worth every penny!
46,71,1.0,Best purchase I've made this year! Highly recommended!,Best purchase I've made this year! Highly recommended!
75,84,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
23,60,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
74,84,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
15,68,1.0,Nothing impressive but works fine.,Nothing impressive but works fine.
46,51,1.0,Best purchase I've made this year! Highly recommended!,Best purchase I've made this year! Highly recommended!
8,63,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
74,75,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
73,98,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
17,79,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
6,9,1.0,"Standard product, nothing extraordinary.","Standard product, nothing extraordinary."
71,99,1.0,Best purchase I've made this year! Highly recommended!,Best purchase I've made this year! Highly recommended!
11,67,1.0,Really impressed with the features and performance!,Really impressed with the features and performance!
23,61,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
24,43,1.0,Great service and excellent quality! 👏,Great service and excellent quality! 👏
12,54,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
25,35,1.0,Decent value for the price.,Decent value for the price.
7,78,1.0,Very disappointed! Does not work as advertised!,Very disappointed! Does not work as advertised!
58,98,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
67,93,1.0,Really impressed with the features and performance!,Really impressed with the features and performance!
65,76,1.0,"It works as described, nothing more.","It works as described, nothing more."
64,97,1.0,Defective product! Bad customer support!,Defective product! Bad customer support!
12,58,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
12,59,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
64,81,1.0,Defective product! Bad customer support!,Defective product! Bad customer support!
63,79,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
61,96,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
61,82,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
8,79,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
60,96,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
11,93,1.0,Really impressed with the features and performance!,Really impressed with the features and performance!
60,82,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
60,61,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
59,98,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
59,73,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
58,73,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
58,59,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
57,79,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
8,17,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
57,63,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
56,84,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
56,75,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
40,79,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
40,63,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
40,57,1.0,I love this product! It's amazing! 😍,I love this product! It's amazing! 😍
56,74,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
10,53,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
54,98,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
54,73,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
54,59,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
38,83,1.0,"Average quality, meets basic expectations.","Average quality, meets basic expectations."
54,58,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
38,52,1.0,"Average quality, meets basic expectations.","Average quality, meets basic expectations."
53,84,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
10,56,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
53,75,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
53,74,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
53,56,1.0,Great value for money! Very satisfied!,Great value for money! Very satisfied!
12,32,1.0,Poor quality control! Avoid this product!,Poor quality control! Avoid this product!
52,83,1.0,"Average quality, meets basic expectations.","Average quality, meets basic expectations."
51,99,1.0,Best purchase I've made this year! Highly recommended!,Best purchase I've made this year! Highly recommended!
23,96,1.0,Functionality is basic but sufficient.,Functionality is basic but sufficient.
3,8,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
3,63,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
0,8,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
0,17,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
0,57,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
0,63,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
3,57,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
0,79,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
3,79,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
3,40,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
0,40,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
3,17,0.4459465155547523,Exceeded my expectations! Amazing product!,I love this product! It's amazing! 😍
6,39,0.4409639236432159,"Standard product, nothing extraordinary.",Typical product with standard features.
9,39,0.4409639236432159,"Standard product, nothing extraordinary.",Typical product with standard features.
9,62,0.4409639236432159,"Standard product, nothing extraordinary.",Typical product with standard features.
6,62,0.4409639236432159,"Standard product, nothing extraordinary.",Typical product with standard features.
81,87,0.43281436553009783,Defective product! Bad customer support!,Fantastic experience with customer support!
81,86,0.43281436553009783,Defective product! Bad customer support!,Fantastic experience with customer support!
64,87,0.43281436553009783,Defective product! Bad customer support!,Fantastic experience with customer support!
42,97,0.43281436553009783,Fantastic experience with customer support!,Defective product! Bad customer support!
64,86,0.43281436553009783,Defective product! Bad customer support!,Fantastic experience with customer support!
42,81,0.43281436553009783,Fantastic experience with customer support!,Defective product! Bad customer support!
86,97,0.43281436553009783,Fantastic experience with customer support!,Defective product! Bad customer support!
42,64,0.43281436553009783,Fantastic experience with customer support!,Defective product! Bad customer support!
87,97,0.43281436553009783,Fantastic experience with customer support!,Defective product! Bad customer support!
21,64,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
20,81,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
20,97,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
21,81,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
20,64,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
19,97,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
19,64,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
19,81,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
21,97,0.4327399587422516,Poor quality and bad customer service!,Defective product! Bad customer support!
12,47,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
18,98,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
59,89,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
18,32,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
58,89,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
18,59,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
12,89,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
12,18,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
54,89,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
89,98,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
47,98,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
18,73,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
47,73,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
32,47,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
18,54,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
32,89,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
47,59,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
47,58,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
73,89,0.41217450798152044,Poor quality control! Avoid this product!,Very poor quality! Not recommended at all!
18,58,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
47,54,0.41217450798152044,Very poor quality! Not recommended at all!,Poor quality control! Avoid this product!
5,26,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
26,27,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
30,50,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
26,92,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
16,27,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
16,50,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
55,92,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
45,92,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
45,50,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
30,92,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
50,55,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
26,50,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
27,30,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
5,30,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
5,55,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
5,45,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
27,55,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
5,16,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
27,45,0.409194178761345,Terrible experience! Waste of money! 😡,Complete waste of time and money! 😤
16,92,0.409194178761345,Complete waste of time and money! 😤,Terrible experience! Waste of money! 😡
21,47,0.38130003785509936,Poor quality and bad customer service!,Very poor quality! Not recommended at all!
21,89,0.38130003785509936,Poor quality and bad customer service!,Very poor quality! Not recommended at all!
18,19,0.38130003785509936,Very poor quality! Not recommended at all!,Poor quality and bad customer service!
20,89,0.38130003785509936,Poor quality and bad customer service!,Very poor quality! Not recommended at all!
19,89,0.38130003785509936,Poor quality and bad customer service!,Very poor quality! Not recommended at all!
18,21,0.38130003785509936,Very poor quality! Not recommended at all!,Poor quality and bad customer service!
19,47,0.38130003785509936,Poor quality and bad customer service!,Very poor quality! Not recommended at all!
20,47,0.38130003785509936,Poor quality and bad customer service!,Very poor quality! Not recommended at all!
18,20,0.38130003785509936,Very poor quality! Not recommended at all!,Poor quality and bad customer service!
20,33,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
19,33,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
21,43,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
20,43,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
19,43,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
21,24,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
21,33,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
20,24,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
19,24,0.37784673433160143,Poor quality and bad customer service!,Great service and excellent quality! 👏
15,65,0.3525322224445135,Nothing impressive but works fine.,"It works as described, nothing more."
15,76,0.3525322224445135,Nothing impressive but works fine.,"It works as described, nothing more."
65,68,0.3525322224445135,"It works as described, nothing more.",Nothing impressive but works fine.
68,76,0.3525322224445135,Nothing impressive but works fine.,"It works as described, nothing more."
28,35,0.31771055870958054,Not worth the price! Very disappointed!,Decent value for the price.
13,35,0.31771055870958054,Not worth the price! Very disappointed!,Decent value for the price.
25,28,0.31771055870958054,Decent value for the price.,Not worth the price! Very disappointed!
31,35,0.31771055870958054,Not worth the price! Very disappointed!,Decent value for the price.
13,25,0.31771055870958054,Not worth the price! Very disappointed!,Decent value for the price.
25,44,0.31771055870958054,Decent value for the price.,Not worth the price! Very disappointed!
25,31,0.31771055870958054,Decent value for the price.,Not worth the price! Very disappointed!
35,44,0.31771055870958054,Decent value for the price.,Not worth the price! Very disappointed!
21,32,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
20,59,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
21,58,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
19,32,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
19,58,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
19,59,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
21,59,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
21,73,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
20,54,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
21,98,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
19,54,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
19,98,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
20,58,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
12,19,0.2951703175984256,Poor quality control! Avoid this product!,Poor quality and bad customer service!
12,20,0.2951703175984256,Poor quality control! Avoid this product!,Poor quality and bad customer service!
12,21,0.2951703175984256,Poor quality control! Avoid this product!,Poor quality and bad customer service!
20,73,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
19,73,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
21,54,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
20,32,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
20,98,0.2951703175984256,Poor quality and bad customer service!,Poor quality control! Avoid this product!
48,63,0.2683287008867946,Absolutely love it! Worth every penny!,I love this product! It's amazing! 😍
48,57,0.2683287008867946,Absolutely love it! Worth every penny!,I love this product! It's amazing! 😍
40,48,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
8,48,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
17,90,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
63,90,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
17,48,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
40,90,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
57,90,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
79,90,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
48,79,0.2683287008867946,Absolutely love it! Worth every penny!,I love this product! It's amazing! 😍
8,90,0.2683287008867946,I love this product! It's amazing! 😍,Absolutely love it! Worth every penny!
31,90,0.26403611579026315,Not worth the price! Very disappointed!,Absolutely love it! Worth every penny!
28,90,0.26403611579026315,Not worth the price! Very disappointed!,Absolutely love it! Worth every penny!
31,48,0.26403611579026315,Not worth the price! Very disappointed!,Absolutely love it! Worth every penny!
13,48,0.26403611579026315,Not worth the price! Very disappointed!,Absolutely love it! Worth every penny!
13,90,0.26403611579026315,Not worth the price! Very disappointed!,Absolutely love it! Worth every penny!
44,90,0.26403611579026315,Not worth the price! Very disappointed!,Absolutely love it! Worth every penny!
44,48,0.26403611579026315,Not worth the price! Very disappointed!,Absolutely love it! Worth every penny!
28,48,0.26403611579026315,Not worth the price! Very disappointed!,Absolutely love it! Worth every penny!
25,56,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
35,53,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
35,56,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
35,75,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
10,35,0.2603760132537402,Great value for money! Very satisfied!,Decent value for the price.
35,74,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
25,84,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
10,25,0.2603760132537402,Great value for money! Very satisfied!,Decent value for the price.
35,84,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
25,74,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
25,53,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
25,75,0.2603760132537402,Decent value for the price.,Great value for money! Very satisfied!
47,99,0.25463341362391784,Very poor quality! Not recommended at all!,Best purchase I've made this year! Highly recommended!
47,71,0.25463341362391784,Very poor quality! Not recommended at all!,Best purchase I've made this year! Highly recommended!
18,51,0.25463341362391784,Very poor quality! Not recommended at all!,Best purchase I've made this year! Highly recommended!
18,46,0.25463341362391784,Very poor quality! Not recommended at all!,Best purchase I've made this year! Highly recommended!
46,89,0.25463341362391784,Best purchase I've made this year! Highly recommended!,Very poor quality! Not recommended at all!
18,99,0.25463341362391784,Very poor quality! Not recommended at all!,Best purchase I've made this year! Highly recommended!
46,47,0.25463341362391784,Best purchase I've made this year! Highly recommended!,Very poor quality! Not recommended at all!
47,51,0.25463341362391784,Very poor quality! Not recommended at all!,Best purchase I've made this year! Highly recommended!
18,71,0.25463341362391784,Very poor quality! Not recommended at all!,Best purchase I've made this year! Highly recommended!
89,99,0.25463341362391784,Very poor quality! Not recommended at all!,Best purchase I've made this year! Highly recommended!
71,89,0.25463341362391784,Best purchase I've made this year! Highly recommended!,Very poor quality! Not recommended at all!
51,89,0.25463341362391784,Best purchase I've made this year! Highly recommended!,Very poor quality! Not recommended at all!
4,34,0.25139599521223793,"Average quality, meets basic expectations.",Average experience overall.
38,41,0.25139599521223793,"Average quality, meets basic expectations.",Average experience overall.
34,38,0.25139599521223793,Average experience overall.,"Average quality, meets basic expectations."
34,52,0.25139599521223793,Average experience overall.,"Average quality, meets basic expectations."
14,38,0.25139599521223793,Average experience overall.,"Average quality, meets basic expectations."
41,52,0.25139599521223793,Average experience overall.,"Average quality, meets basic expectations."
38,85,0.25139599521223793,"Average quality, meets basic expectations.",Average experience overall.
